onset	duration	isError	totalError	memError	load	recall_dir	retrieval
  6.501	6	0	0	0	4	B	0
 14.001	7	1	6	4	4	B	1
 35.501	6	0	0	0	2	B	0
     43	7	1	1	0	2	B	1
 52.502	6	0	0	0	2	B	0
 60.001	7	0	0	0	2	B	1
 69.501	6	0	0	0	4	F	0
 77.001	7	1	2	1	4	F	1
 86.501	6	0	0	0	2	F	0
 94.501	6	0	0	0	2	F	0
102.001	7	1	4	2	2	F	1
111.501	6	0	0	0	4	F	0
119.501	6	0	0	0	4	B	0
139.501	6	0	0	0	6	F	0
147.001	7	1	2	2	6	F	1
156.501	6	0	0	0	6	B	0
164.002	7	1	2	2	6	B	1
173.501	6	0	0	0	6	B	0
181.001	7	1	5	5	6	B	1
202.501	6	0	0	0	4	F	0
210.001	7	1	2	1	4	F	1
219.501	6	0	0	0	2	B	0
    227	7	1	2	0	2	B	1
248.501	6	0	0	0	4	B	0
256.001	7	0	0	0	4	B	1
  265.5	6	0	0	0	2	B	0
273.501	6	0	0	0	2	F	0
281.001	7	0	0	0	2	F	1
290.501	6	0	0	0	4	B	0
298.001	7	1	1	1	4	B	1
307.501	6	0	0	0	6	F	0
315.001	7	0	0	0	6	F	1
324.501	6	0	0	0	6	B	0
  332.5	6	0	0	0	4	F	0
340.001	7	1	6	4	4	F	1
349.501	6	1	0	0	6	F	0
357.001	7	1	5	5	6	F	1
366.501	6	1	0	0	6	F	0
374.501	6	0	0	0	2	F	0
382.001	7	0	0	0	2	F	1
391.501	6	0	0	0	6	B	0
399.001	7	1	1	1	6	B	1
  6.501	6	0	0	0	2	F	0
     14	7	0	0	0	2	F	1
   23.5	6	0	0	0	2	B	0
     31	7	0	0	0	2	B	1
   40.5	6	0	0	0	6	B	0
 48.001	7	1	2	2	6	B	1
 69.501	6	0	0	0	2	B	0
   77.5	6	0	0	0	6	F	0
 85.001	7	0	0	0	6	F	1
106.501	6	0	0	0	4	B	0
114.001	7	0	0	0	4	B	1
123.501	6	0	0	0	4	F	0
131.502	6	0	0	0	4	F	0
    139	7	0	0	0	4	F	1
  148.5	6	0	0	0	6	B	0
156.002	7	0	0	0	6	B	1
  165.5	6	0	0	0	4	F	0
173.001	7	0	0	0	4	F	1
182.502	6	0	0	0	4	F	0
190.001	7	1	1	0	4	F	1
  211.5	6	0	0	0	6	F	0
219.001	7	0	0	0	6	F	1
228.502	6	0	0	0	2	F	0
236.502	6	0	0	0	4	B	0
244.501	6	0	0	0	6	F	0
  252.5	6	0	0	0	6	F	0
260.001	7	1	2	2	6	F	1
269.502	6	0	0	0	2	F	0
277.002	7	0	0	0	2	F	1
286.501	6	0	0	0	2	F	0
    294	7	1	1	1	2	F	1
303.501	6	0	0	0	6	B	0
311.501	6	0	0	0	2	B	0
319.001	7	0	0	0	2	B	1
  328.5	6	0	0	0	6	B	0
336.002	7	0	0	0	6	B	1
  345.5	6	0	0	0	2	B	0
353.001	7	0	0	0	2	B	1
  374.5	6	0	0	0	4	B	0
382.001	7	1	1	0	4	B	1
  391.5	6	0	0	0	4	B	0
399.001	7	0	0	0	4	B	1
    6.5	6	0	0	0	4	F	0
     14	7	0	0	0	4	F	1
 35.502	6	0	0	0	4	B	0
 43.002	7	0	0	0	4	B	1
   52.5	6	0	0	0	2	B	0
     60	7	0	0	0	2	B	1
   69.5	6	0	0	0	4	F	0
     77	7	1	1	0	4	F	1
   86.5	6	0	0	0	4	B	0
   94.5	6	0	0	0	6	B	0
102.002	7	1	1	1	6	B	1
  111.5	6	0	0	0	2	F	0
  119.5	6	0	0	0	6	B	0
    127	7	0	0	0	6	B	1
  136.5	6	0	0	0	4	F	0
144.002	7	0	0	0	4	F	1
  153.5	6	0	0	0	6	F	0
161.501	6	0	0	0	6	B	0
    169	7	0	0	0	6	B	1
  190.5	6	0	0	0	6	B	0
198.501	6	0	0	0	6	F	0
206.001	7	0	0	0	6	F	1
  227.5	6	0	0	0	2	B	0
    235	7	1	3	1	2	B	1
  244.5	6	0	0	0	2	F	0
    252	7	0	0	0	2	F	1
  261.5	6	0	0	0	2	B	0
269.501	6	0	0	0	2	F	0
    277	7	0	0	0	2	F	1
286.502	6	0	0	0	4	B	0
    294	7	1	1	0	4	B	1
  303.5	6	0	0	0	4	B	0
    311	7	1	2	1	4	B	1
  332.5	6	0	0	0	6	F	0
    340	7	0	0	0	6	F	1
349.501	6	0	0	0	6	F	0
    357	7	0	0	0	6	F	1
366.501	6	0	0	0	4	F	0
  374.5	6	0	0	0	2	B	0
    382	7	0	0	0	2	B	1
391.501	6	0	0	0	2	F	0
    399	7	0	0	0	2	F	1
    6.5	6	0	0	0	4	F	0
   14.5	6	0	0	0	4	B	0
     22	7	0	0	0	4	B	1
   31.5	6	0	0	0	4	F	0
     39	7	0	0	0	4	F	1
   48.5	6	0	0	0	2	B	0
   68.5	6	0	0	0	2	F	0
     76	7	0	0	0	2	F	1
