onset	duration	isError	totalError	memError	load	recall_dir	retrieval
  6.501	6	0	0	0	2	F	0
 14.501	6	0	0	0	6	F	0
 22.001	7	0	0	0	6	F	1
 31.501	6	0	0	0	4	F	0
 39.001	7	0	0	0	4	F	1
 60.501	6	0	0	0	4	F	0
 68.001	7	0	0	0	4	F	1
   77.5	6	0	0	0	6	B	0
 85.501	6	0	0	0	4	B	0
 93.001	7	1	4	4	4	B	1
102.501	6	0	0	0	6	F	0
110.001	7	1	2	2	6	F	1
119.501	6	0	0	0	4	B	0
127.001	7	1	2	2	4	B	1
136.501	6	0	0	0	4	B	0
144.501	6	0	0	0	2	B	0
164.501	6	0	0	0	6	B	0
172.001	7	0	0	0	6	B	1
181.501	6	0	0	0	2	F	0
189.001	7	0	0	0	2	F	1
198.501	6	0	0	0	4	F	0
206.001	7	0	0	0	4	F	1
215.501	6	0	0	0	6	B	0
223.001	7	1	3	3	6	B	1
  244.5	6	0	0	0	2	F	0
    252	7	0	0	0	2	F	1
261.501	6	0	0	0	2	B	0
269.001	7	0	0	0	2	B	1
278.501	6	0	0	0	2	F	0
286.001	7	0	0	0	2	F	1
295.501	6	0	0	0	4	B	0
303.001	7	1	3	2	4	B	1
312.501	6	0	0	0	2	B	0
    320	7	0	0	0	2	B	1
329.501	6	0	0	0	6	B	0
337.001	7	1	1	1	6	B	1
  358.5	6	0	0	0	6	F	0
  366.5	6	0	0	0	6	F	0
374.001	7	1	2	2	6	F	1
383.501	6	0	0	0	4	F	0
391.501	6	0	0	0	2	B	0
399.001	7	0	0	0	2	B	1
    6.5	6	0	0	0	4	B	0
   14.5	6	0	0	0	6	F	0
   34.5	6	0	0	0	6	F	0
     42	7	0	0	0	6	F	1
   51.5	6	0	0	0	6	F	0
     59	7	0	0	0	6	F	1
   68.5	6	0	0	0	4	B	0
     76	7	1	1	1	4	B	1
 85.502	6	0	0	0	2	F	0
     93	7	0	0	0	2	F	1
102.501	6	0	0	0	6	B	0
  110.5	6	0	0	0	2	F	0
    118	7	0	0	0	2	F	1
  127.5	6	0	0	0	2	F	0
    135	7	0	0	0	2	F	1
  156.5	6	0	0	0	4	F	0
    164	7	0	0	0	4	F	1
  173.5	6	0	0	0	2	B	0
    181	7	1	1	1	2	B	1
  202.5	6	0	0	0	4	B	0
    210	7	1	1	1	4	B	1
  219.5	6	0	0	0	4	B	0
    227	7	1	1	1	4	B	1
  236.5	6	0	0	0	6	B	0
    244	7	1	1	1	6	B	1
265.502	6	0	0	0	4	F	0
    273	7	0	0	0	4	F	1
282.502	6	0	0	0	2	B	0
290.002	7	1	1	0	2	B	1
299.502	6	0	0	0	2	F	0
  307.5	6	0	0	0	2	B	0
  315.5	6	0	0	0	4	F	0
    323	7	0	0	0	4	F	1
  332.5	6	0	0	0	6	B	0
    340	7	0	0	0	6	B	1
349.502	6	0	0	0	2	B	0
    357	7	0	0	0	2	B	1
  366.5	6	0	0	0	6	F	0
    374	7	0	0	0	6	F	1
  383.5	6	0	0	0	4	F	0
  391.5	6	0	0	0	6	B	0
    399	7	1	3	3	6	B	1
