onset	duration	isError	totalError	memError	load	recall_dir	retrieval
  6.501	6	0	0	0	2	F	0
 14.501	6	0	0	0	6	F	0
 22.001	7	0	0	0	6	F	1
 31.501	6	0	0	0	4	F	0
 39.001	7	0	0	0	4	F	1
 60.501	6	0	0	0	4	F	0
 68.001	7	0	0	0	4	F	1
   77.5	6	0	0	0	6	B	0
 85.501	6	0	0	0	4	B	0
 93.001	7	1	4	4	4	B	1
102.501	6	0	0	0	6	F	0
110.001	7	1	2	2	6	F	1
119.501	6	0	0	0	4	B	0
127.001	7	1	2	2	4	B	1
136.501	6	0	0	0	4	B	0
144.501	6	0	0	0	2	B	0
164.501	6	0	0	0	6	B	0
172.001	7	0	0	0	6	B	1
181.501	6	0	0	0	2	F	0
189.001	7	0	0	0	2	F	1
198.501	6	0	0	0	4	F	0
206.001	7	0	0	0	4	F	1
215.501	6	0	0	0	6	B	0
223.001	7	1	3	3	6	B	1
  244.5	6	0	0	0	2	F	0
    252	7	0	0	0	2	F	1
261.501	6	0	0	0	2	B	0
269.001	7	0	0	0	2	B	1
278.501	6	0	0	0	2	F	0
286.001	7	0	0	0	2	F	1
295.501	6	0	0	0	4	B	0
303.001	7	1	3	2	4	B	1
312.501	6	0	0	0	2	B	0
    320	7	0	0	0	2	B	1
329.501	6	0	0	0	6	B	0
337.001	7	1	1	1	6	B	1
  358.5	6	0	0	0	6	F	0
  366.5	6	0	0	0	6	F	0
374.001	7	1	2	2	6	F	1
383.501	6	0	0	0	4	F	0
391.501	6	0	0	0	2	B	0
399.001	7	0	0	0	2	B	1
