onset	duration	isError	totalError	memError	load	recall_dir	retrieval
  6.502	6	0	0	0	4	B	0
 14.001	7	0	0	0	4	B	1
 35.501	6	0	0	0	2	B	0
 43.001	7	0	0	0	2	B	1
 52.501	6	0	0	0	2	B	0
     60	7	0	0	0	2	B	1
 69.501	6	0	0	0	4	F	0
 77.001	7	0	0	0	4	F	1
 86.501	6	0	0	0	2	F	0
   94.5	6	0	0	0	2	F	0
102.002	7	1	1	1	2	F	1
111.501	6	0	0	0	4	F	0
119.501	6	0	0	0	4	B	0
139.501	6	0	0	0	6	F	0
147.001	7	0	0	0	6	F	1
156.501	6	0	0	0	6	B	0
    164	7	0	0	0	6	B	1
173.501	6	0	0	0	6	B	0
181.002	7	0	0	0	6	B	1
202.502	6	0	0	0	4	F	0
210.001	7	0	0	0	4	F	1
219.502	6	0	0	0	2	B	0
227.001	7	0	0	0	2	B	1
248.501	6	0	0	0	4	B	0
256.001	7	0	0	0	4	B	1
  265.5	6	0	0	0	2	B	0
  273.5	6	0	0	0	2	F	0
281.002	7	0	0	0	2	F	1
290.501	6	0	0	0	4	B	0
298.002	7	0	0	0	4	B	1
307.501	6	0	0	0	6	F	0
    315	7	0	0	0	6	F	1
324.501	6	0	0	0	6	B	0
332.501	6	0	0	0	4	F	0
340.001	7	0	0	0	4	F	1
349.501	6	0	0	0	6	F	0
357.001	7	0	0	0	6	F	1
366.502	6	0	0	0	6	F	0
374.501	6	0	0	0	2	F	0
    382	7	0	0	0	2	F	1
391.501	6	0	0	0	6	B	0
399.001	7	0	0	0	6	B	1
    6.5	6	0	0	0	2	F	0
     14	7	0	0	0	2	F	1
 23.502	6	0	0	0	2	B	0
 31.002	7	0	0	0	2	B	1
 40.501	6	0	0	0	6	B	0
 48.001	7	0	0	0	6	B	1
 69.501	6	0	0	0	2	B	0
   77.5	6	0	0	0	6	F	0
 85.001	7	0	0	0	6	F	1
106.502	6	0	0	0	4	B	0
    114	7	0	0	0	4	B	1
  123.5	6	0	0	0	4	F	0
131.502	6	0	0	0	4	F	0
    139	7	0	0	0	4	F	1
148.501	6	0	0	0	6	B	0
    156	7	0	0	0	6	B	1
165.502	6	0	0	0	4	F	0
173.001	7	0	0	0	4	F	1
182.502	6	0	0	0	4	F	0
190.001	7	0	0	0	4	F	1
  211.5	6	0	0	0	6	F	0
    219	7	0	0	0	6	F	1
228.501	6	0	0	0	2	F	0
236.502	6	0	0	0	4	B	0
  244.5	6	0	0	0	6	F	0
  252.5	6	0	0	0	6	F	0
260.001	7	0	0	0	6	F	1
  269.5	6	0	0	0	2	F	0
277.001	7	0	0	0	2	F	1
286.502	6	0	0	0	2	F	0
294.002	7	0	0	0	2	F	1
  303.5	6	0	0	0	6	B	0
311.502	6	0	0	0	2	B	0
319.001	7	0	0	0	2	B	1
328.502	6	0	0	0	6	B	0
    336	7	0	0	0	6	B	1
345.501	6	0	0	0	2	B	0
    353	7	0	0	0	2	B	1
  374.5	6	0	0	0	4	B	0
    382	7	0	0	0	4	B	1
  391.5	6	0	0	0	4	B	0
    399	7	0	0	0	4	B	1
