onset	duration	isError	totalError	memError	load	recall_dir	retrieval
  6.501	6	0	0	0	4	B	0
 14.002	7	0	0	0	4	B	1
 35.501	6	0	0	0	2	B	0
 43.001	7	0	0	0	2	B	1
   52.5	6	0	0	0	2	B	0
     60	7	1	1	1	2	B	1
   69.5	6	0	0	0	4	F	0
 77.001	7	0	0	0	4	F	1
 86.501	6	0	0	0	2	F	0
 94.502	6	0	0	0	2	F	0
    102	7	0	0	0	2	F	1
111.501	6	0	0	0	4	F	0
  119.5	6	0	0	0	4	B	0
139.501	6	0	0	0	6	F	0
    147	7	0	0	0	6	F	1
156.501	6	0	0	0	6	B	0
164.002	7	0	0	0	6	B	1
  173.5	6	0	0	0	6	B	0
181.001	7	1	1	1	6	B	1
202.501	6	0	0	0	4	F	0
210.001	7	1	1	1	4	F	1
219.501	6	0	0	0	2	B	0
    227	7	1	1	0	2	B	1
248.502	6	0	0	0	4	B	0
256.001	7	0	0	0	4	B	1
265.501	6	0	0	0	2	B	0
273.502	6	0	0	0	2	F	0
281.001	7	0	0	0	2	F	1
290.501	6	0	0	0	4	B	0
    298	7	0	0	0	4	B	1
307.501	6	0	0	0	6	F	0
315.002	7	0	0	0	6	F	1
324.501	6	0	0	0	6	B	0
  332.5	6	0	0	0	4	F	0
340.001	7	0	0	0	4	F	1
  349.5	6	0	0	0	6	F	0
357.001	7	0	0	0	6	F	1
366.502	6	0	0	0	6	F	0
  374.5	6	0	0	0	2	F	0
    382	7	0	0	0	2	F	1
391.501	6	0	0	0	6	B	0
399.002	7	1	3	3	6	B	1
