onset	duration	isError	targetForce	forceLevel	speedLevel	targetSpeed	numPress
    6.5	6	0	2.5	L	M	10	10
   14.5	6	0	2.5	L	M	10	10
 22.501	6	0	2.5	L	L	 6	 6
   30.5	6	0	  6	M	L	 6	 6
 38.502	6	0	2.5	L	L	 6	 6
   46.5	6	0	 10	H	L	 6	 6
   54.5	6	0	2.5	L	L	 6	 6
   62.5	6	1	2.5	L	H	18	16
   70.5	6	1	2.5	L	H	18	20
   78.5	6	0	  6	M	L	 6	 6
   98.5	6	1	2.5	L	H	18	18
106.502	6	0	2.5	L	M	10	10
114.502	6	0	 10	H	L	 6	 6
  134.5	6	0	2.5	L	L	 6	 6
  142.5	6	1	2.5	L	H	18	17
162.502	6	0	 10	H	L	 6	 6
170.502	6	0	2.5	L	M	10	10
178.502	6	0	 10	H	L	 6	 6
  186.5	6	0	 10	H	L	 6	 6
  194.5	6	0	2.5	L	L	 6	 6
  202.5	6	0	  6	M	L	 6	 6
  210.5	6	0	2.5	L	M	10	10
  218.5	6	0	  6	M	L	 6	 6
  238.5	6	0	  6	M	L	 6	 6
  246.5	6	1	2.5	L	H	18	16
    6.5	6	0	2.5	L	L	 6	 6
   26.5	6	1	 10	H	L	 6	 5
   34.5	6	0	2.5	L	L	 6	 6
   42.5	6	1	2.5	L	H	18	17
   50.5	6	0	2.5	L	M	10	10
   58.5	6	0	  6	M	L	 6	 6
   66.5	6	0	 10	H	L	 6	 6
   74.5	6	0	 10	H	L	 6	 6
   82.5	6	0	  6	M	L	 6	 6
   90.5	6	1	2.5	L	H	18	16
  110.5	6	0	  6	M	L	 6	 6
  118.5	6	0	2.5	L	M	10	10
  126.5	6	0	 10	H	L	 6	 6
  134.5	6	0	2.5	L	M	10	10
  142.5	6	1	2.5	L	H	18	17
  150.5	6	0	2.5	L	L	 6	 6
  158.5	6	1	2.5	L	H	18	15
  178.5	6	0	2.5	L	M	10	10
  198.5	6	0	2.5	L	M	10	10
  206.5	6	0	  6	M	L	 6	 6
  214.5	6	0	2.5	L	L	 6	 6
  222.5	6	0	  6	M	L	 6	 6
  230.5	6	1	2.5	L	H	18	18
  238.5	6	0	 10	H	L	 6	 6
  246.5	6	0	2.5	L	L	 6	 6
