onset	duration	isError	totalError	memError	load	recall_dir	retrieval
  6.502	6	0	0	0	4	B	0
 14.001	7	1	4	3	4	B	1
   35.5	6	0	0	0	2	B	0
     43	7	0	0	0	2	B	1
   52.5	6	0	0	0	2	B	0
     60	7	1	2	0	2	B	1
   69.5	6	0	0	0	4	F	0
     77	7	0	0	0	4	F	1
   86.5	6	0	0	0	2	F	0
   94.5	6	0	0	0	2	F	0
102.002	7	0	0	0	2	F	1
111.501	6	0	0	0	4	F	0
119.502	6	0	0	0	4	B	0
  139.5	6	0	0	0	6	F	0
    147	7	0	0	0	6	F	1
156.502	6	0	0	0	6	B	0
164.002	7	1	4	4	6	B	1
  173.5	6	0	0	0	6	B	0
    181	7	1	1	1	6	B	1
202.501	6	0	0	0	4	F	0
210.002	7	0	0	0	4	F	1
219.501	6	0	0	0	2	B	0
227.002	7	0	0	0	2	B	1
  248.5	6	0	0	0	4	B	0
    256	7	0	0	0	4	B	1
265.502	6	0	0	0	2	B	0
273.502	6	0	0	0	2	F	0
281.002	7	0	0	0	2	F	1
  290.5	6	0	0	0	4	B	0
298.002	7	0	0	0	4	B	1
  307.5	6	0	0	0	6	F	0
    315	7	0	0	0	6	F	1
324.502	6	0	0	0	6	B	0
  332.5	6	0	0	0	4	F	0
    340	7	0	0	0	4	F	1
  349.5	6	0	0	0	6	F	0
    357	7	0	0	0	6	F	1
  366.5	6	0	0	0	6	F	0
374.502	6	0	0	0	2	F	0
    382	7	0	0	0	2	F	1
391.502	6	0	0	0	6	B	0
    399	7	1	3	3	6	B	1
    6.5	6	0	0	0	2	F	0
 14.001	7	0	0	0	2	F	1
 23.501	6	0	0	0	2	B	0
 31.001	7	0	0	0	2	B	1
   40.5	6	0	0	0	6	B	0
     48	7	1	2	2	6	B	1
 69.501	6	0	0	0	2	B	0
 77.502	6	0	0	0	6	F	0
     85	7	0	0	0	6	F	1
106.501	6	0	0	0	4	B	0
114.001	7	0	0	0	4	B	1
  123.5	6	0	0	0	4	F	0
  131.5	6	0	0	0	4	F	0
139.002	7	0	0	0	4	F	1
148.501	6	0	0	0	6	B	0
156.001	7	1	1	1	6	B	1
165.501	6	0	0	0	4	F	0
173.002	7	0	0	0	4	F	1
182.501	6	0	0	0	4	F	0
190.002	7	0	0	0	4	F	1
  211.5	6	0	0	0	6	F	0
219.001	7	0	0	0	6	F	1
  228.5	6	0	0	0	2	F	0
  236.5	6	0	0	0	4	B	0
244.501	6	0	0	0	6	F	0
252.501	6	0	0	0	6	F	0
    260	7	0	0	0	6	F	1
  269.5	6	0	0	0	2	F	0
277.002	7	0	0	0	2	F	1
286.501	6	0	0	0	2	F	0
294.001	7	0	0	0	2	F	1
303.501	6	0	0	0	6	B	0
  311.5	6	0	0	0	2	B	0
    319	7	0	0	0	2	B	1
328.502	6	0	0	0	6	B	0
336.001	7	0	0	0	6	B	1
345.501	6	0	0	0	2	B	0
    353	7	0	0	0	2	B	1
374.502	6	0	0	0	4	B	0
382.001	7	0	0	0	4	B	1
391.501	6	0	0	0	4	B	0
    399	7	1	3	3	4	B	1
