onset	duration	isError	targetForce	forceLevel	speedLevel	targetSpeed	numPress
    6.5	6	0	2.5	L	M	10	10
   14.5	6	0	2.5	L	M	10	10
   22.5	6	0	2.5	L	L	 6	 6
 30.502	6	0	  6	M	L	 6	 6
   38.5	6	0	2.5	L	L	 6	 6
   46.5	6	1	 10	H	L	 6	 5
 54.502	6	0	2.5	L	L	 6	 6
   62.5	6	1	2.5	L	H	18	16
 70.501	6	1	2.5	L	H	18	19
   78.5	6	0	  6	M	L	 6	 6
   98.5	6	1	2.5	L	H	18	18
106.502	6	0	2.5	L	M	10	10
  114.5	6	1	 10	H	L	 6	 4
134.501	6	0	2.5	L	L	 6	 6
142.502	6	1	2.5	L	H	18	18
162.501	6	0	 10	H	L	 6	 6
  170.5	6	0	2.5	L	M	10	10
178.502	6	0	 10	H	L	 6	 6
186.502	6	0	 10	H	L	 6	 6
194.502	6	0	2.5	L	L	 6	 6
  202.5	6	0	  6	M	L	 6	 6
  210.5	6	0	2.5	L	M	10	10
  218.5	6	0	  6	M	L	 6	 6
  238.5	6	0	  6	M	L	 6	 6
  246.5	6	1	2.5	L	H	18	18
